AnimalNo,WHHeightAtWither,Rumpheight,BLBodylengthcm,Scapuloischiallength,SternumHeight,ChestDepth,RumpWidth,RumpLength,HeartGirth,AbdGirth,CannonBoneDiameter,HockBoneDiameter,ActualBodyWeight
8378,147,158,220,182,62,103,45,37,209,269,22,43,641
3512,148,161,212,182,65,102,48,35,200,253,23,55,641
3517,156,163,211,183,65,103,48,36,218,260,19,47,642
2483,159,169,223,185,67,98,55,39,213,256,23,45,642
2835,154,165,215,190,70,100,52,42,210,247,23,46,642
3016,162,170,210,168,74,103,53,43,210,243,21,48,642
2896,147,158,240,175,66,97,44,40,201,250,20,44,642
3331,159,164,205,180,72,114,45,35,212,252,20,48,643
3307,162,166,202,185,74,104,52,42,207,248,20,44,643
164,150,163,220,187,64,96,45,40,203,253,22,50,644
2803,141,156,216,175,64,94,47,36,198,256,21,48,644
8433,151,163,210,169,62,108,50,33,212,257,20,47,645
8392,144,159,218,176,59,96,44,38,199,262,21,49,646
3665,148,163,212,192,65,99,58,43,206,243,21,48,647
999113,145,158,219,164,68,104,44,35,219,258,23,58,648
2117,152,157,217,179,65,103,41,40,208,244,20,46,648
3298,155,164,216,187,72,101,43,41,210,253,20,45,649
8149,150,158,202,193,63,102,41,36,202,249,20,48,649
2941,153,164,227,179,65,98,47,43,210,253,20,47,650
7203,145,156,210,183,60,100,42,33,208,260,20,44,650
3211,149,160,218,170,65,98,45,43,216,258,18,48,651
7670,151,163,210,190,65,107,48,41,209,244,21,52,651
2150,152,161,217,179,64,100,47,37,215,257,19,46,652
2995,152,161,212,178,64,98,54,39,212,250,20,46,652
4087,159,167,201,183,69,108,52,44,210,240,19,48,652
3685,153,158,230,190,68,99,45,42,205,260,20,57,653
3822,156,165,198,183,68,104,46,39,207,257,21,48,653
3532,150,168,209,178,69,102,45,38,208,249,20,52,653
3785,161,170,233,194,73,105,50,42,209,257,20,56,654
212,152,163,215,165,64,102,48,33,210,255,20,54,654
231,150,161,218,185,64,100,48,45,202,250,21,58,654
2232,150,155,205,180,66,109,50,40,205,255,21,48,654
689,150,160,219,183,62,103,45,37,208,241,22,46,654
3192,160,177,203,183,65,109,42,33,215,252,21,52,655
3521,160,166,196,174,64,105,43,42,209,243,20,45,655
2466,151,157,208,175,56,100,54,35,205,261,20,46,656
2394,149,162,208,170,62,104,43,41,210,251,19,58,656
2967,159,161,207,189,73,103,46,43,205,246,20,47,656
3090,156,165,210,190,73,98,52,41,204,244,20,51,656
3618,162,170,212,187,69,106,47,43,216,255,21,58,657
3425,157,165,235,195,65,106,53,42,207,249,21,62,657
2446,152,161,232,183,64,102,44,35,202,247,21,55,657
2550,156,159,218,175,69,102,45,43,212,255,20,52,658
3934,151,167,210,182,68,102,43,36,206,253,21,49,658
3972,159,168,203,185,68,102,45,39,207,255,19,52,659
2395,153,157,214,176,55,106,50,36,213,251,20,48,659
168,158,168,216,167,76,101,49,38,217,254,22,56,660
2823,155,168,225,178,69,101,50,36,208,251,20,49,660
169,151,158,224,165,64,105,53,42,210,245,21,47,660
3293,162,171,218,184,74,108,48,41,215,253,22,54,662
3645,152,162,207,190,63,93,43,38,201,244,21,47,662
3848,153,163,197,182,60,101,47,40,217,254,22,48,663
